iter	RMSE
0	0.8346704199
1	0.8335382397
2	0.8327401384
3	0.8317554297
4	0.8310254281
5	0.8304896037
6	0.8302323703
7	0.8298611639
8	0.8289800018
9	0.8281569876
10	0.8277982818
11	0.8270515755
12	0.8264937547
13	0.8256465037
14	0.8248302445
15	0.8245396233
16	0.8241845262
17	0.8234661056
18	0.8231742571
19	0.8223760969
20	0.8221084768
21	0.8215504447
22	0.8210449489
23	0.8207658779
24	0.8202478387
25	0.8199295608
26	0.819353974
27	0.8187840383
28	0.8181092167
29	0.8178718298
30	0.8175659434
31	0.8173514633
32	0.8172033978
33	0.8169175715
34	0.8166874714
35	0.8164738943
36	0.8162855206
37	0.8160600001
38	0.8157865103
39	0.8156129561
40	0.8149378901
41	0.8144857064
42	0.8142284885
43	0.8140351558
44	0.8138946547
45	0.8131139646
46	0.8130180685
47	0.8128783293
48	0.8127231118
49	0.8123439161
50	0.8121278418
51	0.811912044
52	0.811778609
53	0.8115415265
54	0.8112836215
55	0.8111242375
56	0.811013799
57	0.8109230634
58	0.8103828358
59	0.8102557734
60	0.8098320104
61	0.8096760523
62	0.809543337
63	0.8090385712
64	0.8084024795
65	0.8078941728
66	0.8077501086
67	0.8074124496
68	0.8069846814
69	0.8067522174
70	0.806521571
71	0.8059913422
72	0.8056969044
73	0.8055840249
74	0.8052803148
75	0.8048371474
76	0.8045034401
77	0.8044222442
78	0.8043490276
79	0.8042069339
80	0.8040713735
81	0.803588651
82	0.8032849272
83	0.8027598074
84	0.8026973323
85	0.8026692198
86	0.8023483171
87	0.8022262655
88	0.8017587923
89	0.8012762336
90	0.8008654259
91	0.8008027555
92	0.8004859335
93	0.8003425055
94	0.8002248741
95	0.7998603413
96	0.7996271138
97	0.7992069446
98	0.7991620511
99	0.7989728173
100	0.7988189586
101	0.7985282724
102	0.7984325218
103	0.7983037873
104	0.7980469017
105	0.7976322357
106	0.7974960983
107	0.797104704
108	0.7967562613
109	0.7964950991
110	0.7964258477
111	0.7961592377
112	0.7958818896
113	0.7957888565
114	0.7957245536
115	0.7955673554
116	0.7954717487
117	0.7952809207
118	0.7950322432
119	0.7948652412
120	0.7945410041
121	0.7944548617
122	0.7942390512
123	0.794021419
124	0.7937317965
125	0.7936088605
126	0.7935455981
127	0.7933455016
128	0.7931759804
129	0.7931160851
130	0.793107525
131	0.7929238429
132	0.7927901982
133	0.7926598696
134	0.7924133692
135	0.7923957166
136	0.7922132497
137	0.7921434219
138	0.7920974271
139	0.7918385522
140	0.7916619848
141	0.7915226645
142	0.7913819783
143	0.791212075
144	0.7910641301
145	0.7908364022
146	0.7907775816
147	0.7905745647
148	0.7904945669
149	0.7903248257
150	0.7902410956
151	0.7902026452
152	0.7901394886
153	0.7900313102
154	0.7899450413
155	0.7898860864
156	0.7897788769
157	0.7896171954
158	0.7895093618
159	0.7895049467
160	0.789456694
161	0.7893714192
162	0.789369885
163	0.7892586548
164	0.7891410711
165	0.7891121607
166	0.7889839975
167	0.7889397603
168	0.7888373212
169	0.7888370556
170	0.7888026836
171	0.7887165638
172	0.7885801996
173	0.7885794509
174	0.7884868576
175	0.7884667516
176	0.7884429939
177	0.7884427635
178	0.7883225863
179	0.7882033565
180	0.7881742971
181	0.7881393836
182	0.7880528555
183	0.7879547836
184	0.7878627407
185	0.7877124534
186	0.7876484284
187	0.787611256
188	0.7875052012
189	0.7874187488
190	0.7873453676
191	0.7872865895
192	0.7871930679
193	0.7871132434
194	0.7870906735
195	0.7870265086
196	0.7869264716
197	0.7868838857
