iter	Passed	Remaining
0	227	113466
1	285	71000
2	329	54507
3	384	47632
4	463	45844
5	502	41371
6	553	38988
7	590	36317
8	622	33962
9	652	31986
10	699	31073
11	725	29513
12	759	28442
13	789	27402
14	828	26783
15	854	25858
16	885	25170
17	914	24492
18	947	23994
19	981	23560
20	1016	23183
21	1057	22984
22	1095	22712
23	1128	22391
24	1166	22159
25	1192	21734
26	1230	21554
27	1265	21337
28	1301	21146
29	1330	20837
30	1365	20651
31	1395	20412
32	1422	20134
33	1461	20031
34	1497	19891
35	1518	19569
36	1536	19230
37	1558	18945
38	1583	18713
39	1620	18638
40	1649	18464
41	1685	18380
42	1723	18318
43	1747	18109
44	1788	18086
45	1818	17948
46	1847	17808
47	1872	17634
48	1898	17475
49	1924	17316
50	1967	17321
51	2003	17263
52	2042	17227
53	2074	17134
54	2103	17016
55	2141	16979
56	2172	16883
57	2236	17045
58	2265	16931
59	2305	16903
60	2333	16794
61	2376	16785
62	2425	16827
63	2461	16770
64	2487	16650
65	2527	16623
66	2585	16708
67	2624	16674
68	2667	16659
69	2734	16800
70	2802	16934
71	2844	16909
72	2889	16899
73	2955	17015
74	2997	16986
75	3040	16964
76	3081	16929
77	3121	16887
78	3158	16831
79	3205	16827
80	3250	16814
81	3280	16722
82	3313	16646
83	3344	16564
84	3382	16516
85	3411	16422
86	3443	16344
87	3494	16362
88	3523	16272
89	3551	16180
90	3587	16125
91	3638	16135
92	3673	16078
93	3728	16103
94	3781	16121
95	3812	16045
96	3858	16032
97	3890	15959
98	3933	15932
99	3965	15862
100	4013	15854
101	4046	15790
102	4071	15692
103	4110	15650
104	4137	15565
105	4164	15480
106	4215	15484
107	4245	15410
108	4277	15344
109	4308	15276
110	4346	15231
111	4378	15169
112	4407	15096
113	4437	15025
114	4481	15003
115	4526	14983
116	4573	14972
117	4608	14920
118	4638	14852
119	4671	14791
120	4698	14717
121	4741	14690
122	4775	14636
123	4803	14565
124	4840	14521
125	4871	14460
126	4900	14391
127	4930	14329
128	4960	14267
129	5004	14244
130	5040	14198
131	5069	14133
132	5095	14060
133	5125	13998
134	5156	13940
135	5193	13899
136	5221	13834
137	5247	13765
138	5281	13717
139	5307	13648
140	5334	13582
141	5366	13529
142	5395	13468
143	5424	13409
144	5465	13381
145	5494	13322
146	5556	13344
147	5597	13312
148	5628	13259
149	5656	13199
150	5683	13136
151	5710	13075
152	5737	13011
153	5768	12960
154	5793	12895
155	5827	12849
156	5882	12851
157	5912	12798
158	5939	12738
159	5963	12672
160	6005	12645
161	6042	12607
162	6053	12516
163	6081	12459
164	6109	12404
165	6149	12373
166	6187	12337
167	6232	12316
168	6258	12258
169	6272	12175
170	6300	12121
171	6326	12064
172	6352	12006
173	6367	11930
174	6400	11886
175	6433	11844
176	6468	11803
177	6484	11729
178	6527	11705
179	6568	11676
180	6629	11683
181	6660	11637
182	6689	11588
183	6723	11546
184	6761	11513
185	6799	11478
186	6837	11443
187	6878	11416
188	6914	11377
189	6948	11336
190	6985	11300
191	7025	11270
192	7065	11238
193	7113	11220
194	7161	11200
195	7199	11166
196	7229	11120
197	7257	11069
198	7283	11016
199	7315	10972
200	7364	10954
201	7432	10965
202	7470	10929
203	7499	10881
204	7544	10857
205	7589	10831
206	7626	10795
207	7669	10766
208	7700	10721
209	7752	10706
210	7798	10681
211	7840	10650
212	7885	10624
213	7928	10596
214	7976	10573
215	8031	10560
216	8065	10518
217	8109	10489
218	8179	10494
219	8220	10462
220	8247	10411
221	8272	10359
222	8304	10315
223	8315	10245
224	8348	10203
225	8377	10156
226	8418	10124
227	8467	10102
228	8503	10063
229	8519	10001
230	8567	9977
231	8612	9948
232	8654	9917
233	8672	9857
234	8709	9821
235	8749	9787
236	8783	9747
237	8826	9717
238	8865	9682
239	8911	9653
240	8952	9620
241	8979	9572
