GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,VISIT_AREA_NM,MVMN_NM,DGSTFN
남,30.0,1.0,4.0,2.0,2.0,6.0,2.0,2.0,7.0,3.0,3.0,미스틱3도,자가용,5.0
남,20.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,6.0,3.0,1.0,에스제이렌트카,대중교통 등,4.0
여,50.0,4.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,법환식당,대중교통 등,5.0
남,30.0,1.0,1.0,1.0,5.0,6.0,3.0,5.0,7.0,7.0,3.0,에코랜드호텔,자가용,5.0
여,20.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,윤스타피자앤파스타,자가용,4.0
여,20.0,2.0,1.0,3.0,2.0,5.0,3.0,1.0,7.0,2.0,1.0,서정리역 1호선,자가용,4.0
여,40.0,2.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,7.0,1.0,동문식당,자가용,4.0
여,40.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,2.0,1.0,2.0,해녀식당,자가용,5.0
여,20.0,2.0,2.0,2.0,6.0,1.0,2.0,6.0,5.0,7.0,0.0,알맞은시간,대중교통 등,5.0
여,20.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,6.0,0.0,애월온기,대중교통 등,4.0
남,30.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,1.0,아일랜드 리솜,자가용,4.0
여,30.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,7.0,1.0,CU 제주금능해변점,대중교통 등,4.0
여,20.0,2.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,산도롱맨도롱 제주공항점,대중교통 등,4.0
남,20.0,6.0,2.0,1.0,4.0,6.0,3.0,6.0,3.0,2.0,9.0,청주국제공항,대중교통 등,4.0
여,40.0,4.0,5.0,2.0,2.0,5.0,2.0,6.0,6.0,9.0,3.0,소노캄제주 수영장,자가용,4.0
여,30.0,6.0,3.0,3.0,3.0,2.0,6.0,3.0,6.0,2.0,1.0,청굴물,대중교통 등,5.0
남,20.0,2.0,2.0,2.0,4.0,3.0,3.0,6.0,6.0,1.0,3.0,오전열한시,대중교통 등,4.0
여,50.0,1.0,5.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,섭지코지,대중교통 등,5.0
여,20.0,1.0,2.0,1.0,5.0,7.0,2.0,1.0,7.0,2.0,0.0,금오름,대중교통 등,4.0
남,30.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,라테라스리조트앤스파,자가용,5.0
여,20.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,7.0,2.0,0.0,콜체스카페,대중교통 등,3.0
여,20.0,4.0,2.0,4.0,4.0,2.0,3.0,5.0,5.0,9.0,6.0,정방폭포,대중교통 등,5.0
여,50.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,6.0,2.0,0.0,교래자연휴양림,자가용,5.0
여,20.0,3.0,3.0,2.0,3.0,6.0,4.0,7.0,4.0,2.0,3.0,제주국제공항,대중교통 등,4.0
여,30.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,5.0,1.0,2.0,뽀로로앤타요테마파크제주,자가용,5.0
여,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,하갈비국수,자가용,4.0
여,20.0,1.0,4.0,1.0,4.0,7.0,7.0,7.0,2.0,1.0,1.0,카페블루하우스 서귀포시청점,자가용,4.0
남,30.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,10.0,1.0,촛대암,대중교통 등,5.0
여,20.0,3.0,2.0,2.0,6.0,2.0,1.0,7.0,7.0,4.0,0.0,동문취향게스트하우스,자가용,4.0
여,40.0,2.0,3.0,2.0,2.0,1.0,2.0,6.0,6.0,1.0,1.0,제주시민속오일시장,자가용,4.0
여,20.0,4.0,1.0,3.0,1.0,3.0,6.0,4.0,6.0,2.0,1.0,바다향,자가용,4.0
여,30.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,7.0,3.0,1.0,명가솥뚜껑,자가용,4.0
여,20.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,서울역,대중교통 등,5.0
남,20.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,1.0,3.0,성산일출봉,자가용,4.0
여,30.0,5.0,2.0,3.0,2.0,6.0,5.0,2.0,6.0,1.0,1.0,학포야영장,대중교통 등,5.0
남,40.0,4.0,7.0,3.0,3.0,3.0,5.0,5.0,6.0,1.0,0.0,준반점,자가용,4.0
남,30.0,7.0,4.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,1.0,시루애월,자가용,5.0
여,50.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,6.0,2.0,위미해오름식당,자가용,3.0
여,30.0,2.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,2.0,플랏포커피,대중교통 등,4.0
여,20.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,6.0,9.0,1.0,제주동문재래시장,자가용,4.0
남,20.0,5.0,1.0,5.0,1.0,4.0,5.0,2.0,6.0,3.0,3.0,우도봉 입구,대중교통 등,5.0
여,30.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,7.0,1.0,1.0,안산역 4호선,대중교통 등,2.0
여,40.0,2.0,1.0,4.0,4.0,2.0,3.0,6.0,6.0,3.0,1.0,금화왕돈까스 김포통진점,자가용,4.0
